"model","field_count","fields"
"Activity","7","patient_id, facility_id, module, action, description, performed_by, meta"
"Administrator","10","user_id, first_name, last_name, email, password, role, designation, facility_id, state_id, lga_id"
"AntenatalFollowUpAssessment","30","patient_id, facility_id, state_id, lga_id, ward_id, month_year, visit_date, bp, pcv, weight, fundal_height, presentation_position, relation_to_brim, fetal_heart_rate, urine_test, oedema, clinical_remarks, special_delivery_instructions, next_return_date, xray_pelvimetry, pelvic_inlet, pelvic_cavity, pelvic_outlet, hb_genotype, rhesus, kahn_vdrl, antimalarials_therapy, officer_name, officer_role, officer_designation"
"Bed","12","facility_id, bed_section_id, bed_code, ward_section, room_label, bed_type, status, is_active, occupied_by_patient_id, occupied_since, last_status_changed_at, notes"
"BedSection","4","facility_id, name, details, is_active"
"ChildHealthActivityRecord","21","patient_id, linked_child_id, facility_id, state_id, lga_id, ward_id, month_year, visit_date, vaccination_dates, vaccination_notes, weight_entries, breastfeeding_entries, aefi_period, aefi_type, aefi_sia_campaign, aefi_cases, comments, summary_map, officer_name, officer_role, officer_designation"
"ClinicalNote","13","user_id, facility_id, state_id, lga_id, ward_id, month_year, date_of_visit, section, note, phone, officer_name, officer_role, officer_designation"
"DailyAttendance","20","user_id, state_id, lga_id, ward_id, month_year, visit_date, date_of_birth, gender, age_group, address, state_of_origin_id, phone, first_contact, next_of_kin_name, next_of_kin_relation, next_of_kin_address, next_of_kin_phone, officer_name, officer_role, officer_designation"
"DataOfficer","7","user_id, first_name, last_name, email, role, designation, facility_id"
"Delivery","52","patient_id, facility_id, state_id, lga_id, ward_id, month_year, cl_date, cl_sex, toc, seeking_care, transportation, parity, dodel, cl_phone, mod, partograph, oxytocin, misoprostol, alive, admitted, discharged, referred_out, pac, mother_transportation, dead, MDA_conducted, MDA_not_conducted, abortion, time_of_delivery, pre_term, breathing, weight, still_birth, baby_dead, live_births, baby_sex, took_delivery, doctor, newborn_care, clamped, CKX_gel, breast, temperature, breastfeeding, postpartum, took_del, officer_name, officer_role, officer_designation, blood_loss, gestational_age, complications"
"DoctorAssessment","27","patient_id, facility_id, state_id, lga_id, ward_id, doctor_user_id, month_year, visit_date, next_appointment_date, chief_complaints, history_of_present_illness, vital_signs, physical_examination, clinical_findings, provisional_diagnosis, final_diagnosis, assessment_note, management_plan, follow_up_instructions, referral_note, advice_to_patient, requires_lab_tests, requires_drugs, summary_map, officer_name, officer_role, officer_designation"
"DrugCatalogItem","11","facility_id, state_id, lga_id, ward_id, drug_name, formulation, strength, route, notes, reorder_level, is_active"
"DrugDispenseLine","14","patient_id, facility_id, state_id, lga_id, ward_id, drug_catalog_item_id, prescription_id, month_year, dispensed_date, dispense_code, drug_name, quantity, dispense_notes, dispensed_by"
"DrugStockBatch","11","facility_id, drug_catalog_item_id, batch_number, received_date, expiry_date, quantity_received, quantity_available, unit_cost, supplier_name, notes, is_active"
"DrugStockMovement","13","facility_id, drug_catalog_item_id, drug_stock_batch_id, patient_id, movement_type, quantity, balance_after, moved_at, moved_by, reference_type, reference_id, reference_code, notes"
"Facility","14","name, code, state_id, lga_id, ward_id, state, lga, ward, address, phone, email, type, ownership, is_active"
"FacilityAdminAudit","9","facility_id, changed_by_user_id, changed_by_name, action, target_type, target_id, old_values, new_values, notes"
"FacilityDepartment","4","facility_id, name, details, is_active"
"FacilityFeeSchedule","9","facility_id, facility_service_catalog_item_id, amount, effective_from, effective_to, is_active, notes, created_by_user_id, updated_by_user_id"
"FacilityModuleAccess","5","facility_id, module_key, module_label, is_enabled, last_changed_by_user_id"
"FacilityServiceCatalogItem","9","facility_id, service_code, service_name, service_category, description, base_fee, is_active, created_by_user_id, updated_by_user_id"
"FamilyPlanningFollowUp","20","patient_id, facility_id, family_planning_registration_id, state_id, lga_id, ward_id, month_year, visit_date, next_appointment_date, method_change, method_supplied, brand_size_quality, blood_pressure, weight, pelvic_exam_performed, observation_notes, summary_map, officer_name, officer_role, officer_designation"
"HealthTrend","29","facility_id, state_id, lga_id, trend_type, metric_name, trend_category, period_start, period_end, period_type, current_value, previous_value, percentage_change, trend_direction, trend_severity, sample_size, confidence_level, trend_data_points, statistical_metadata, ai_interpretation, contributing_factors, predictions, alert_level, geographic_scope, affected_demographics, requires_intervention, recommended_actions, intervention_notes, last_reviewed, reviewed_by"
"ImmunizationRecord","46","patient_id, linked_child_id, facility_id, state_id, lga_id, ward_id, month_year, visit_date, immunization_card_no, follow_up_address, follow_up_phone, hepb0_date, opv0_date, bcg_date, opv1_date, penta1_date, pcv1_date, rota1_date, opv2_date, penta2_date, pcv2_date, rota2_date, ipv1_date, rota3_date, opv3_date, penta3_date, pcv3_date, mr1_date, yf_date, mr2_date, mena_date, yf2_date, slea_date, vita1_date, vita2_date, ipv2_date, hpv_date, aefi_period, aefi_type, aefi_sia_campaign, aefi_cases, comments, summary_map, officer_name, officer_role, officer_designation"
"InpatientAdmission","14","facility_id, patient_id, bed_section_id, bed_id, admission_code, admitted_at, admitted_by, admission_reason, status, is_active, discharged_at, discharged_by, discharge_note, referral_destination"
"Invoice","14","patient_id, facility_id, state_id, lga_id, ward_id, month_year, invoice_code, invoice_date, total_amount, amount_paid, outstanding_amount, status, notes, created_by"
"InvoiceLine","13","invoice_id, patient_id, facility_id, module, reference_type, reference_id, reference_code, description, quantity, unit_price, line_amount, service_date, created_by"
"LabEquipmentLog","9","facility_id, equipment_name, equipment_code, log_type, performed_date, next_due_date, result_status, performed_by, notes"
"LabProcessingBatch","11","facility_id, batch_code, test_profile, analyzer_name, run_date, status, sample_count, notes, created_by, completed_by, completed_at"
"LabQcLog","10","facility_id, qc_date, qc_type, test_profile, control_level, expected_range, observed_value, status, reviewed_by, remarks"
"LabReagentMovement","9","facility_id, lab_reagent_stock_id, movement_type, quantity, balance_after, moved_at, moved_by, reference_code, notes"
"LabReagentStock","10","facility_id, reagent_name, lot_number, unit, quantity_available, reorder_level, expiry_date, manufacturer, is_active, notes"
"LabSample","12","facility_id, patient_id, lab_test_order_id, processing_batch_id, accession_no, test_name, specimen_type, sample_status, collected_at, received_at, received_by, remarks"
"LabTest","26","patient_id, facility_id, state_id, lga_id, ward_id, month_year, visit_date, lab_no, specimen, clinician_diagnosis, age_sex, examination, report_values, widal_values, stool_values, mcs_results, urinalysis_results, microscopy_results, sensitivity_results, comment, mlt_sign, sign_date, summary_map, officer_name, officer_role, officer_designation"
"LabTestOrder","19","doctor_assessment_id, patient_id, facility_id, state_id, lga_id, ward_id, month_year, visit_date, test_name, specimen, priority, instructions, status, requested_by, requested_at, completed_lab_test_id, completed_at, completed_by, completion_notes"
"Lga","2","state_id, name"
"LinkedChild","19","linked_child_id, parent_patient_id, first_name, last_name, middle_name, gender, date_of_birth, relationship, birth_weight, birth_length, birth_order, is_active, deceased_date, graduated_patient_id, graduated_at, facility_id, created_by, updated_by, notes"
"NutritionRecord","29","patient_id, linked_child_id, facility_id, state_id, lga_id, ward_id, month_year, visit_date, age_group, infant_feeding, complementary_feeding, counselling_topics, support_group_referred, height_cm, weight_kg, oedema, muac_value_mm, muac_class, growth_status, supplementary_feeding_groups, mnp_given, otp_provider, admission_status, outcome_status, remarks, summary_map, officer_name, officer_role, officer_designation"
"Patient","21","din, first_name, middle_name, last_name, gender, date_of_birth, phone, email, state_id, lga_id, ward_id, facility_id, registration_date, is_active, is_nhis_subscriber, nhis_number, nhis_provider, nhis_expiry_date, nhis_plan_type, nhis_principal_name, nhis_principal_number"
"PatientPayment","12","patient_id, facility_id, state_id, lga_id, ward_id, month_year, payment_code, payment_date, amount_received, payment_method, notes, received_by"
"PaymentAllocation","3","patient_payment_id, invoice_id, amount_allocated"
"PostnatalRecord","33","patient_id, facility_id, state_id, lga_id, ward_id, month_year, visit_date, delivery_date, days_postpartum, age_range, parity_count, attendance, associated_problems, mother_days, child_days, child_sex, nutrition_counseling, breast_examination, breastfeeding_status, family_planning, female_genital_mutilation, vaginal_examination, packed_cell_volume, urine_test_results, newborn_care, kangaroo_mother_care, visit_outcome, systolic_bp, diastolic_bp, newborn_weight, officer_name, officer_role, officer_designation"
"Prescription","21","doctor_assessment_id, patient_id, facility_id, state_id, lga_id, ward_id, month_year, prescribed_date, drug_name, dosage, frequency, duration, route, instructions, quantity_prescribed, quantity_dispensed, status, prescribed_by, dispensed_by, dispensed_date, dispense_notes"
"Referral","28","patient_id, facility_id, state_id, lga_id, ward_id, month_year, referral_date, serial_no, referred_from, referred_to, requested_service_code, services_selected, services_other, service_provided, date_completed, follow_up_needed, transport_mode, time_in, time_out, completed_by, completed_designation, completed_date, focal_person, focal_date, summary_map, officer_name, officer_role, officer_designation"
"Registrations/AntenatalRegistration","89","patient_id, facility_id, pregnancy_number, is_active, pregnancy_status, previous_registration_id, registration_date, date_of_booking, indication_for_booking, xray_no, unit_no, ethnic_group, occupation, speaks_english, literate, special_points, consultant, husband_name, husband_occupation, husband_employer, lmp, edd, gestational_age_weeks, gestational_age_days, booking_trimester, gravida, parity, total_births, living_children, abortions, preg_0_dob, preg_0_dur, preg_0_outcome, preg_0_weight, preg_0_nndd, preg_1_dob, preg_1_dur, preg_1_outcome, preg_1_weight, preg_1_nndd, preg_2_dob, preg_2_dur, preg_2_outcome, preg_2_weight, preg_2_nndd, preg_3_dob, preg_3_dur, preg_3_outcome, preg_3_weight, preg_3_nndd, preg_4_dob, preg_4_dur, preg_4_outcome, preg_4_weight, preg_4_nndd, heart_disease, chest_disease, kidney_disease, blood_transfusion, other_medical_history, family_multiple_pregnancy, family_tuberculosis, family_hypertension, family_heart_disease, other_family_history, bleeding, discharge, urinary_symptoms, swelling_ankles, other_symptoms, height, weight, blood_pressure, hemoglobin, genotype, blood_group_rhesus, kahn_test, oedema, anaemia, breast_nipple, chest_xray, urine_analysis, respiratory_system, comments, examiner, special_instructions, officer_name, officer_role, officer_designation"
"Registrations/DinActivation","14","patient_id, facility_id, visit_date, check_in_time, patient_din, patient_first_name, patient_middle_name, patient_last_name, patient_phone, patient_age, patient_gender, officer_name, officer_role, officer_designation"
"Registrations/FamilyPlanningRegistration","50","patient_id, facility_id, registration_date, client_reg_number, referral_source, children_born_alive, children_still_living, miscarriages_stillbirths_abortions, last_pregnancy_ended, last_pregnancy_result, breastfeeding, want_more_children, last_menstrual_period, menstrual_cycle, cycle_duration, medical_conditions, other_illness_specify, smoke, last_pregnancy_complication, complication_specify, prior_contraceptive, prior_method, contraceptive_selected, brand_size_model, source, quality, weight, blood_pressure, breasts, uterus_position, uterus_size, cervix_tears, cervix_erosion, vaginal_discharge, discharge_colour, discharge_odor, cervix_discharge, liver_enlarged, laboratory_results, other_observations, next_appointment, pregnancy1_date_ended, pregnancy1_outcome, pregnancy1_complication, pregnancy2_date_ended, pregnancy2_outcome, pregnancy2_complication, officer_name, officer_role, officer_designation"
"Registrations/GeneralPatientsRegistration","21","patient_id, facility_id, marital_status, occupation, religion, place_of_origin, tribe, home_address, town, landmark, po_box_no, nok_name, nok_relationship, nok_phone, nok_address, xray_no, officer_name, officer_role, officer_designation, registered_by, registration_date"
"Reminder","18","patient_id, facility_id, source_module, source_record_id, title, message, reminder_date, reminder_time, status, channels, recipient_phone, recipient_email, created_by, created_by_role, meta, queued_at, sent_at, failed_at"
"ReminderDispatchLog","13","reminder_id, patient_id, facility_id, channel, status, provider, recipient, subject, message, provider_message, provider_payload, sent_at, failed_at"
"RiskFactor","31","factor_code, factor_name, description, category, base_weight, weight_modifiers, severity_impact, gestational_relevance, trigger_conditions, exclusion_conditions, clinical_evidence, evidence_strength, reference_studies, ai_detectable, detection_rules, related_factors, ai_confidence_threshold, recommended_actions, monitoring_requirements, patient_education, is_active, display_order, auto_detect, effective_from, effective_until, times_detected, prediction_accuracy, last_updated_weights, created_by, updated_by, update_notes"
"RiskPrediction","22","user_id, facility_id, antenatal_id, total_risk_score, risk_level, risk_percentage, identified_risks, ai_recommendations, prediction_confidence, gestational_age_weeks, assessment_date, next_assessment_due, clinical_notes, predicted_outcomes, actual_outcomes, outcome_verified, model_version, prediction_timestamp, assessment_type, officer_name, officer_role, officer_designation"
"Role","2","name, description"
"StaffManagementAudit","8","facility_id, target_user_id, action, old_values, new_values, changed_by_user_id, changed_by_name, notes"
"State","1","name"
"TetanusVaccination","26","patient_id, antenatal_registration_id, facility_id, visit_date, current_tt_dose, dose_date, dose_number, protection_status, dose_interval, next_appointment_date, vaccination_site, batch_number, expiry_date, adverse_event, adverse_event_details, notes, patient_din, patient_first_name, patient_middle_name, patient_last_name, patient_phone, patient_age, patient_gender, officer_name, officer_role, officer_designation"
"User","14","first_name, last_name, username, email, phone, password, role, designation, account_status, facility_id, department_id, lga_id, state_id, is_active"
"UserRole","6","first_name, last_name, username, password, role, designation"
"Visit","11","patient_id, facility_id, activation_id, visit_date, check_in_time, check_out_time, status, total_events, modules_summary, notes, recorded_by"
"VisitEvent","12","visit_id, patient_id, facility_id, activity_id, event_time, module, action, description, performed_by, source_type, source_id, meta"
"Ward","2","lga_id, name"
