"file","models","date_anchors","tenancy","fields"
"app/Livewire/Analytics/BatchDiagnosticDashboard.php","Facility","","","0"
"app/Livewire/Analytics/BatchPredictiveDashboard.php","Facility","","","0"
"app/Livewire/Analytics/HealthTrendsDashboard.php","Facility, HealthTrend, RiskPrediction","assessment_date, period_start","","10"
"app/Livewire/Analytics/MonthlyReportDashboard.php","Antenatal, ChildHealthActivityRecord, ClinicalNote, DailyAttendance, Delivery, DoctorAssessment, Facility, ImmunizationRecord, InpatientAdmission, LabTest, NutritionRecord, PostnatalRecord, TetanusVaccination, User","admitted_at, discharged_at, dodel, still_birth, visit_date, vita1_date, vita2_date","linked_child_id, patient_id","43"
"app/Livewire/Analytics/MpdsrReportDashboard.php","ClinicalNote, Delivery, Facility, PostnatalRecord, User","dodel","","5"
"app/Livewire/Analytics/RealTimeDashboard.php","Facility","","","1"
"app/Livewire/Analytics/RiskDashboard.php","DailyAttendance, Facility, RiskPrediction, User","assessment_date","","2"
"app/Livewire/Central/CentralAdminDashboard.php","","","","0"
"app/Livewire/Central/CreateAdministrators.php","Facility, Lga, State, User","","lga_id, state_id","6"
"app/Livewire/Central/CreateFacility.php","Facility, Lga, State, Ward","","lga_id, state_id","4"
"app/Livewire/Core/AdmittedPatients.php","Activity, Bed, BedSection, Facility, InpatientAdmission, Patient","admitted_at, discharged_at","facility_id, patient_id","17"
"app/Livewire/Core/BedManagement.php","Bed, BedSection, Facility","","facility_id","6"
"app/Livewire/Core/CreateDataOfficers.php","Facility, User","","facility_id","3"
"app/Livewire/Core/DisableDataOfficerAccount.php","User","","facility_id","2"
"app/Livewire/Core/FacilityAdminDashboard.php","Antenatal, DailyAttendance, Delivery, Facility, PostnatalRecord, State, TetanusVaccination, User","created_at, edd, next_appointment_date, visit_date","facility_id, user_id","12"
"app/Livewire/Core/FacilityAdministration.php","Facility, FacilityAdminAudit, FacilityFeeSchedule, FacilityModuleAccess, FacilityServiceCatalogItem","","facility_id","7"
"app/Livewire/Core/FacilityDepartments.php","FacilityDepartment","","facility_id","1"
"app/Livewire/Core/FacilityPatients.php","User","visit_date","facility_id, user_id","5"
"app/Livewire/Core/FacilityRemindersHub.php","AntenatalFollowUpAssessment, DoctorAssessment, FamilyPlanningFollowUp, FamilyPlanningRegistration, Reminder, ReminderDispatchLog, TetanusVaccination","created_at, reminder_date","facility_id, patient_id","10"
"app/Livewire/Core/FacilityReports.php","AntenatalFollowUpAssessment, AntenatalRegistration, ChildHealthActivityRecord, DailyAttendance, Delivery, DoctorAssessment, Facility, FamilyPlanningFollowUp, FamilyPlanningRegistration, ImmunizationRecord, InpatientAdmission, Invoice, LabTest, NutritionRecord, PostnatalRecord, Prescription, Referral, TetanusVaccination","admitted_at, dodel, dose_date, invoice_date, prescribed_date, referral_date, registration_date, visit_date","","13"
"app/Livewire/Core/FacilitySections.php","Bed, BedSection, Facility","","facility_id","5"
"app/Livewire/Core/LaboratoryOperations.php","Facility, LabEquipmentLog, LabProcessingBatch, LabQcLog, LabReagentMovement, LabReagentStock, LabSample, LabTestOrder","expiry_date, moved_at, next_due_date, performed_date, qc_date, received_at, requested_at, run_date","facility_id","21"
"app/Livewire/Core/LgaOfficerDashboard.php","Antenatal, DailyAttendance, Delivery, Facility, Lga, PostnatalRecord, TetanusVaccination, User","created_at, edd, next_appointment_date, visit_date","user_id","12"
"app/Livewire/Core/PatientAppointments.php","AntenatalFollowUpAssessment, DinActivation, DoctorAssessment, FamilyPlanningFollowUp, FamilyPlanningRegistration, Patient, TetanusVaccination","created_at, next_appointment_date, next_return_date, visit_date","facility_id, patient_id","14"
"app/Livewire/Core/PharmacyOperations.php","DrugCatalogItem, DrugStockBatch, DrugStockMovement, Facility","expiry_date, moved_at, received_date","facility_id","10"
"app/Livewire/Core/StaffManagement.php","Facility, FacilityDepartment, StaffManagementAudit, User","","facility_id","5"
"app/Livewire/Core/StateOfficerDashboard.php","Antenatal, DailyAttendance, Delivery, Facility, PostnatalRecord, State, TetanusVaccination, User","created_at, edd, next_appointment_date, visit_date","user_id","12"
"app/Livewire/Core/UpdateOfficerDesignation.php","User","","facility_id","2"
"app/Livewire/Registers/AntenatalRegister.php","AntenatalRegistration, Facility, Lga, Patient, State, Ward","created_at, registration_date","facility_id","4"
"app/Livewire/Registers/FamilyPlanningRegister.php","Facility, FamilyPlanningRegistration, Lga, Patient, State, Ward","","facility_id, lga_id, state_id","4"
"app/Livewire/Registers/GeneralPatientsRegister.php","Facility, GeneralPatientsRegistration, Lga, Patient, State, Ward","registration_date","facility_id","3"
"app/Livewire/Workspaces/Modules/Activities.php","Activity, DinActivation, Facility, Patient","created_at, visit_date","facility_id, patient_id","5"
"app/Livewire/Workspaces/Modules/ANC/AncOverview.php","DinActivation, Facility, Lga, Patient, State, Ward","visit_date","facility_id, lga_id, state_id","4"
"app/Livewire/Workspaces/Modules/ANC/Deliveries.php","Antenatal, Delivery, DinActivation, Facility, Lga, LinkedChild, Patient, State, Ward","birth_order, date_of_birth, dodel, visit_date","facility_id, lga_id, patient_id, state_id","10"
"app/Livewire/Workspaces/Modules/ANC/FollowUpAssessment.php","AntenatalFollowUpAssessment, DinActivation, Facility, Lga, Patient, State, Ward","visit_date","facility_id, lga_id, patient_id, state_id","5"
"app/Livewire/Workspaces/Modules/ANC/Postnatal.php","Delivery, DinActivation, Facility, Lga, Patient, PostnatalRecord, State, Ward","dodel, visit_date","facility_id, lga_id, patient_id, state_id","7"
"app/Livewire/Workspaces/Modules/ANC/TetanusVaccinations.php","Activity, DinActivation, Facility, Patient, TetanusVaccination","visit_date","facility_id, patient_id","6"
"app/Livewire/Workspaces/Modules/Appointments.php","AntenatalFollowUpAssessment, DinActivation, DoctorAssessment, Facility, FamilyPlanningFollowUp, FamilyPlanningRegistration, Patient, TetanusVaccination","dose_date, next_appointment_date, next_return_date, registration_date, visit_date","facility_id, patient_id","15"
"app/Livewire/Workspaces/Modules/Attendance.php","Activity, DinActivation, Facility, Patient","visit_date","facility_id","2"
"app/Livewire/Workspaces/Modules/Child/ActivityRegister.php","Activity, ChildHealthActivityRecord, DinActivation, Facility, LinkedChild, Patient","date_of_birth, visit_date","facility_id, linked_child_id, patient_id","8"
"app/Livewire/Workspaces/Modules/Child/Immunizations.php","Activity, DinActivation, Facility, ImmunizationRecord, LinkedChild, Patient","date_of_birth, visit_date","facility_id, patient_id","6"
"app/Livewire/Workspaces/Modules/Child/Nutrition.php","Activity, DinActivation, Facility, Lga, LinkedChild, NutritionRecord, Patient, State, Ward","date_of_birth, visit_date","facility_id, lga_id, patient_id, state_id","8"
"app/Livewire/Workspaces/Modules/Clinical/DoctorAssessments.php","Activity, DinActivation, DoctorAssessment, Facility, LabTestOrder, Patient, Prescription","visit_date","facility_id, patient_id","14"
"app/Livewire/Workspaces/Modules/Clinical/DrugCatalog.php","DinActivation, DrugCatalogItem, Facility, Patient","visit_date","facility_id","3"
"app/Livewire/Workspaces/Modules/Clinical/Invoices.php","Activity, DinActivation, Facility, Invoice, Patient, PatientPayment","invoice_date, payment_date, visit_date","facility_id, patient_id","7"
"app/Livewire/Workspaces/Modules/Clinical/Laboratory.php","Activity, DinActivation, Facility, LabTest, LabTestOrder, Patient","requested_at, visit_date","facility_id, patient_id","6"
"app/Livewire/Workspaces/Modules/Clinical/Prescriptions.php","Activity, DinActivation, DrugCatalogItem, DrugDispenseLine, Facility, Invoice, Patient, Prescription","dispensed_date, prescribed_date, visit_date","facility_id, patient_id","12"
"app/Livewire/Workspaces/Modules/Clinical/Referrals.php","Activity, DinActivation, Facility, Patient, Referral","referral_date, visit_date","facility_id, patient_id","5"
"app/Livewire/Workspaces/Modules/FamilyPlanning/ClientFollowUp.php","Activity, DinActivation, Facility, FamilyPlanningFollowUp, FamilyPlanningRegistration, Patient","registration_date, visit_date","facility_id, patient_id","5"
"app/Livewire/Workspaces/Modules/HealthInsurance.php","Activity, DinActivation, Facility, Patient","visit_date","facility_id, patient_id","6"
"app/Livewire/Workspaces/Modules/Reminders.php","Activity, DinActivation, Facility, Patient, Reminder, ReminderDispatchLog","reminder_date, visit_date","facility_id, patient_id","6"
"app/Livewire/Workspaces/Modules/Visits.php","DinActivation, Facility, Patient, Visit, VisitEvent","visit_date","facility_id","6"
"app/Livewire/Workspaces/Patientworkspace.php","DinActivation, Facility, Patient","visit_date","facility_id","2"
"app/Livewire/Workspaces/WorkspaceDashboard.php","AntenatalFollowUpAssessment, DinActivation, DoctorAssessment, Facility, FamilyPlanningFollowUp, FamilyPlanningRegistration, Patient, TetanusVaccination","registration_date, visit_date","facility_id, patient_id","5"
