"file","models","field_count","fields"
"C:\xampp\htdocs\app1\app\Livewire\Analytics\BatchDiagnosticDashboard.php","Facility","0",""
"C:\xampp\htdocs\app1\app\Livewire\Analytics\BatchPredictiveDashboard.php","Facility","0",""
"C:\xampp\htdocs\app1\app\Livewire\Analytics\HealthTrendsDashboard.php","Facility, HealthTrend, RiskPrediction","10","alert_level, assessment_date, metric_name, name, period_start, requires_intervention, trend_category, trend_direction, trend_severity, trend_type"
"C:\xampp\htdocs\app1\app\Livewire\Analytics\MonthlyReportDashboard.php","Antenatal, ChildHealthActivityRecord, ClinicalNote, DailyAttendance, Delivery, DoctorAssessment, Facility, ImmunizationRecord, InpatientAdmission, LabTest, NutritionRecord, PostnatalRecord, TetanusVaccination, User","43","admission_status, admitted_at, aefi_cases, age, alive, assessment_note, baby_dead, baby_sex, breast, breastfeeding_entries, breathing, CKX_gel, clamped, clinician_diagnosis, current_tt_dose, date_of_booking, dead, discharged_at, dodel, family_planning, final_diagnosis, growth_status, linked_child_id, mcs_results, mnp_given, mod, muac_class, name, newborn_care, oxytocin, partograph, patient_id, pre_term, report_values, report_values.mp, seeking_care, still_birth, vaccination_dates, visit_date, vita1_date, vita2_date, weight, weight_entries"
"C:\xampp\htdocs\app1\app\Livewire\Analytics\MpdsrReportDashboard.php","ClinicalNote, Delivery, Facility, PostnatalRecord, User","5","alive, dead, death_type, dodel, name"
"C:\xampp\htdocs\app1\app\Livewire\Analytics\RealTimeDashboard.php","Facility","1","name"
"C:\xampp\htdocs\app1\app\Livewire\Analytics\RiskDashboard.php","DailyAttendance, Facility, RiskPrediction, User","2","assessment_date, name"
"C:\xampp\htdocs\app1\app\Livewire\Central\CentralAdminDashboard.php","","0",""
"C:\xampp\htdocs\app1\app\Livewire\Central\CreateAdministrators.php","Facility, Lga, State, User","6","id, last_name, lga_id, name, role, state_id"
"C:\xampp\htdocs\app1\app\Livewire\Central\CreateFacility.php","Facility, Lga, State, Ward","4","id, lga_id, name, state_id"
"C:\xampp\htdocs\app1\app\Livewire\Core\AdmittedPatients.php","Activity, Bed, BedSection, Facility, InpatientAdmission, Patient","17","admission_code, admitted_at, bed_code, bed_id, bed_section_id, din, discharged_at, facility_id, first_name, id, is_active, last_name, name, patient_id, phone, room_label, status"
"C:\xampp\htdocs\app1\app\Livewire\Core\BedManagement.php","Bed, BedSection, Facility","6","bed_code, facility_id, id, is_active, name, status"
"C:\xampp\htdocs\app1\app\Livewire\Core\CreateDataOfficers.php","Facility, User","3","facility_id, id, last_name"
"C:\xampp\htdocs\app1\app\Livewire\Core\DisableDataOfficerAccount.php","User","2","facility_id, role"
"C:\xampp\htdocs\app1\app\Livewire\Core\FacilityAdminDashboard.php","Antenatal, DailyAttendance, Delivery, Facility, PostnatalRecord, State, TetanusVaccination, User","12","age, count, created_at, dose_number, edd, facility_id, mod, newborn_weight, next_appointment_date, systolic_bp, user_id, visit_date"
"C:\xampp\htdocs\app1\app\Livewire\Core\FacilityAdministration.php","Facility, FacilityAdminAudit, FacilityFeeSchedule, FacilityModuleAccess, FacilityServiceCatalogItem","7","facility_id, facility_service_catalog_item_id, id, is_active, is_enabled, module_key, module_label"
"C:\xampp\htdocs\app1\app\Livewire\Core\FacilityDepartments.php","FacilityDepartment","1","facility_id"
"C:\xampp\htdocs\app1\app\Livewire\Core\FacilityPatients.php","User","5","daily_attendances.facility_id, facility_id, user_id, users.role, visit_date"
"C:\xampp\htdocs\app1\app\Livewire\Core\FacilityRemindersHub.php","AntenatalFollowUpAssessment, DoctorAssessment, FamilyPlanningFollowUp, Registrations\FamilyPlanningRegistration, Reminder, ReminderDispatchLog, TetanusVaccination","10","channel, created_at, din, facility_id, id, patient_id, recipient, reminder_date, status, title"
"C:\xampp\htdocs\app1\app\Livewire\Core\FacilityReports.php","AntenatalFollowUpAssessment, ChildHealthActivityRecord, DailyAttendance, Delivery, DoctorAssessment, Facility, FamilyPlanningFollowUp, ImmunizationRecord, InpatientAdmission, Invoice, LabTest, NutritionRecord, PostnatalRecord, Prescription, Referral, Registrations\AntenatalRegistration, Registrations\FamilyPlanningRegistration, TetanusVaccination","13","admitted_at, dodel, dose_date, id, invoice_date, lga, name, prescribed_date, referral_date, registration_date, state, visit_date, ward"
"C:\xampp\htdocs\app1\app\Livewire\Core\FacilitySections.php","Bed, BedSection, Facility","5","bed_section_id, beds_count, facility_id, is_active, status"
"C:\xampp\htdocs\app1\app\Livewire\Core\LaboratoryOperations.php","Facility, LabEquipmentLog, LabProcessingBatch, LabQcLog, LabReagentMovement, LabReagentStock, LabSample, LabTestOrder","21","accession_no, batch_code, expiry_date, facility_id, id, is_active, lab_test_order_id, lot_number, manufacturer, moved_at, next_due_date, performed_date, processing_batch_id, qc_date, reagent_name, received_at, requested_at, run_date, sample_status, status, unit"
"C:\xampp\htdocs\app1\app\Livewire\Core\LgaOfficerDashboard.php","Antenatal, DailyAttendance, Delivery, Facility, Lga, PostnatalRecord, TetanusVaccination, User","12","age, count, created_at, dose_number, edd, id, mod, newborn_weight, next_appointment_date, systolic_bp, user_id, visit_date"
"C:\xampp\htdocs\app1\app\Livewire\Core\PatientAppointments.php","AntenatalFollowUpAssessment, DoctorAssessment, FamilyPlanningFollowUp, Patient, Registrations\DinActivation, Registrations\FamilyPlanningRegistration, TetanusVaccination","14","created_at, din, email, facility_id, first_name, id, last_name, next_appointment, next_appointment_date, next_return_date, patient_id, phone, status, visit_date"
"C:\xampp\htdocs\app1\app\Livewire\Core\PharmacyOperations.php","DrugCatalogItem, DrugStockBatch, DrugStockMovement, Facility","10","drug_name, expiry_date, facility_id, formulation, id, is_active, moved_at, quantity_available, received_date, strength"
"C:\xampp\htdocs\app1\app\Livewire\Core\StaffManagement.php","Facility, FacilityDepartment, StaffManagementAudit, User","5","facility_id, id, is_active, name, role"
"C:\xampp\htdocs\app1\app\Livewire\Core\StateOfficerDashboard.php","Antenatal, DailyAttendance, Delivery, Facility, PostnatalRecord, State, TetanusVaccination, User","12","age, count, created_at, dose_number, edd, id, mod, newborn_weight, next_appointment_date, systolic_bp, user_id, visit_date"
"C:\xampp\htdocs\app1\app\Livewire\Core\UpdateOfficerDesignation.php","User","2","facility_id, role"
"C:\xampp\htdocs\app1\app\Livewire\Registers\AntenatalRegister.php","Facility, Lga, Patient, Registrations\AntenatalRegistration, State, Ward","4","created_at, facility_id, name, registration_date"
"C:\xampp\htdocs\app1\app\Livewire\Registers\FamilyPlanningRegister.php","Facility, Lga, Patient, Registrations\FamilyPlanningRegistration, State, Ward","4","facility_id, lga_id, name, state_id"
"C:\xampp\htdocs\app1\app\Livewire\Registers\GeneralPatientsRegister.php","Facility, Lga, Patient, Registrations\GeneralPatientsRegistration, State, Ward","3","facility_id, name, registration_date"
"C:\xampp\htdocs\app1\app\Livewire\Workspaces\Modules\Activities.php","Activity, Facility, Patient, Registrations\DinActivation","5","created_at, facility_id, patient_id, total, visit_date"
"C:\xampp\htdocs\app1\app\Livewire\Workspaces\Modules\ANC\AncOverview.php","Facility, Lga, Patient, Registrations\DinActivation, State, Ward","4","facility_id, lga_id, state_id, visit_date"
"C:\xampp\htdocs\app1\app\Livewire\Workspaces\Modules\ANC\Deliveries.php","Antenatal, Delivery, Facility, Lga, LinkedChild, Patient, Registrations\DinActivation, State, Ward","10","birth_order, date_of_birth, dodel, facility_id, gender, lga_id, name, patient_id, state_id, visit_date"
"C:\xampp\htdocs\app1\app\Livewire\Workspaces\Modules\ANC\FollowUpAssessment.php","AntenatalFollowUpAssessment, Facility, Lga, Patient, Registrations\DinActivation, State, Ward","5","facility_id, lga_id, patient_id, state_id, visit_date"
"C:\xampp\htdocs\app1\app\Livewire\Workspaces\Modules\ANC\Postnatal.php","Delivery, Facility, Lga, Patient, PostnatalRecord, Registrations\DinActivation, State, Ward","7","dodel, facility_id, lga_id, name, patient_id, state_id, visit_date"
"C:\xampp\htdocs\app1\app\Livewire\Workspaces\Modules\ANC\TetanusVaccinations.php","Activity, Facility, Patient, Registrations\DinActivation, TetanusVaccination","6","antenatal_registration_id, current_tt_dose, dose_number, facility_id, patient_id, visit_date"
"C:\xampp\htdocs\app1\app\Livewire\Workspaces\Modules\Appointments.php","AntenatalFollowUpAssessment, DoctorAssessment, Facility, FamilyPlanningFollowUp, Patient, Registrations\DinActivation, Registrations\FamilyPlanningRegistration, TetanusVaccination","15","clinical_remarks, contraceptive_selected, current_tt_dose, dose_date, facility_id, final_diagnosis, id, method_supplied, next_appointment, next_appointment_date, next_return_date, patient_id, registration_date, status, visit_date"
"C:\xampp\htdocs\app1\app\Livewire\Workspaces\Modules\Attendance.php","Activity, Facility, Patient, Registrations\DinActivation","2","facility_id, visit_date"
"C:\xampp\htdocs\app1\app\Livewire\Workspaces\Modules\Child\ActivityRegister.php","Activity, ChildHealthActivityRecord, Facility, LinkedChild, Patient, Registrations\DinActivation","8","date_of_birth, facility_id, id, is_active, linked_child_id, patient_id, visit_date, weight_entries"
"C:\xampp\htdocs\app1\app\Livewire\Workspaces\Modules\Child\Immunizations.php","Activity, Facility, ImmunizationRecord, LinkedChild, Patient, Registrations\DinActivation","6","date_of_birth, facility_id, id, is_active, patient_id, visit_date"
"C:\xampp\htdocs\app1\app\Livewire\Workspaces\Modules\Child\Nutrition.php","Activity, Facility, Lga, LinkedChild, NutritionRecord, Patient, Registrations\DinActivation, State, Ward","8","date_of_birth, facility_id, id, is_active, lga_id, patient_id, state_id, visit_date"
"C:\xampp\htdocs\app1\app\Livewire\Workspaces\Modules\Clinical\DoctorAssessments.php","Activity, DoctorAssessment, Facility, LabTestOrder, Patient, Prescription, Registrations\DinActivation","14","dosage, drug_name, duration, facility_id, frequency, id, instructions, patient_id, quantity_prescribed, route, specimen, status, test_name, visit_date"
"C:\xampp\htdocs\app1\app\Livewire\Workspaces\Modules\Clinical\DrugCatalog.php","DrugCatalogItem, Facility, Patient, Registrations\DinActivation","3","facility_id, id, visit_date"
"C:\xampp\htdocs\app1\app\Livewire\Workspaces\Modules\Clinical\Invoices.php","Activity, Facility, Invoice, Patient, PatientPayment, Registrations\DinActivation","7","facility_id, id, invoice_date, outstanding_amount, patient_id, payment_date, visit_date"
"C:\xampp\htdocs\app1\app\Livewire\Workspaces\Modules\Clinical\Laboratory.php","Activity, Facility, LabTest, LabTestOrder, Patient, Registrations\DinActivation","6","facility_id, id, patient_id, requested_at, status, visit_date"
"C:\xampp\htdocs\app1\app\Livewire\Workspaces\Modules\Clinical\Prescriptions.php","Activity, DrugCatalogItem, DrugDispenseLine, Facility, Invoice, Patient, Prescription, Registrations\DinActivation","12","COUNT(*) as lines_count, dispense_code, dispensed_date, drug_name, facility_id, id, is_active, patient_id, prescribed_date, status, SUM(quantity) as total_quantity, visit_date"
"C:\xampp\htdocs\app1\app\Livewire\Workspaces\Modules\Clinical\Referrals.php","Activity, Facility, Patient, Referral, Registrations\DinActivation","5","facility_id, id, patient_id, referral_date, visit_date"
"C:\xampp\htdocs\app1\app\Livewire\Workspaces\Modules\FamilyPlanning\ClientFollowUp.php","Activity, Facility, FamilyPlanningFollowUp, Patient, Registrations\DinActivation, Registrations\FamilyPlanningRegistration","5","facility_id, id, patient_id, registration_date, visit_date"
"C:\xampp\htdocs\app1\app\Livewire\Workspaces\Modules\HealthInsurance.php","Activity, Facility, Patient, Registrations\DinActivation","6","action, facility_id, id, module, patient_id, visit_date"
"C:\xampp\htdocs\app1\app\Livewire\Workspaces\Modules\Reminders.php","Activity, Facility, Patient, Registrations\DinActivation, Reminder, ReminderDispatchLog","6","facility_id, id, patient_id, reminder_date, status, visit_date"
"C:\xampp\htdocs\app1\app\Livewire\Workspaces\Modules\Visits.php","Facility, Patient, Registrations\DinActivation, Visit, VisitEvent","6","event_time, facility_id, id, status, visit_date, visit_id"
"C:\xampp\htdocs\app1\app\Livewire\Workspaces\Patientworkspace.php","Facility, Patient, Registrations\DinActivation","2","facility_id, visit_date"
"C:\xampp\htdocs\app1\app\Livewire\Workspaces\WorkspaceDashboard.php","AntenatalFollowUpAssessment, DoctorAssessment, Facility, FamilyPlanningFollowUp, Patient, Registrations\DinActivation, Registrations\FamilyPlanningRegistration, TetanusVaccination","5","facility_id, id, patient_id, registration_date, visit_date"
